"File_251217_143205.spc - RawData"
"Wavelength nm.","Abs."
200.00,1.081
201.00,1.082
202.00,1.085
203.00,1.087
204.00,1.091
205.00,1.094
206.00,1.099
207.00,1.103
208.00,1.107
209.00,1.110
210.00,1.114
211.00,1.119
212.00,1.122
213.00,1.126
214.00,1.130
215.00,1.134
216.00,1.137
217.00,1.140
218.00,1.143
219.00,1.147
220.00,1.149
221.00,1.152
222.00,1.154
223.00,1.156
224.00,1.157
225.00,1.158
226.00,1.160
227.00,1.161
228.00,1.162
229.00,1.163
230.00,1.163
231.00,1.164
232.00,1.165
233.00,1.166
234.00,1.168
235.00,1.169
236.00,1.171
237.00,1.173
238.00,1.175
239.00,1.177
240.00,1.180
241.00,1.182
242.00,1.184
243.00,1.187
244.00,1.189
245.00,1.192
246.00,1.194
247.00,1.197
248.00,1.199
249.00,1.201
250.00,1.204
251.00,1.207
252.00,1.209
253.00,1.212
254.00,1.214
255.00,1.216
256.00,1.219
257.00,1.221
258.00,1.222
259.00,1.226
260.00,1.228
261.00,1.230
262.00,1.232
263.00,1.234
264.00,1.236
265.00,1.237
266.00,1.240
267.00,1.242
268.00,1.243
269.00,1.246
270.00,1.247
271.00,1.248
272.00,1.250
273.00,1.252
274.00,1.252
275.00,1.254
276.00,1.257
277.00,1.257
278.00,1.259
279.00,1.261
280.00,1.261
281.00,1.264
282.00,1.263
283.00,1.265
284.00,1.268
285.00,1.267
286.00,1.269
287.00,1.270
288.00,1.272
289.00,1.273
290.00,1.275
291.00,1.275
292.00,1.277
293.00,1.277
294.00,1.279
295.00,1.280
296.00,1.282
297.00,1.283
298.00,1.284
299.00,1.285
300.00,1.286
301.00,1.288
302.00,1.288
303.00,1.291
304.00,1.291
305.00,1.291
306.00,1.296
307.00,1.296
308.00,1.298
309.00,1.298
310.00,1.302
311.00,1.303
312.00,1.304
313.00,1.305
314.00,1.307
315.00,1.308
316.00,1.312
317.00,1.313
318.00,1.316
319.00,1.318
320.00,1.320
321.00,1.321
322.00,1.322
323.00,1.328
324.00,1.325
325.00,1.327
326.00,1.333
327.00,1.337
328.00,1.335
329.00,1.338
330.00,1.341
331.00,1.343
332.00,1.348
333.00,1.349
334.00,1.352
335.00,1.354
336.00,1.353
337.00,1.359
338.00,1.359
339.00,1.359
340.00,1.361
341.00,1.362
342.00,1.366
343.00,1.367
344.00,1.369
345.00,1.372
346.00,1.372
347.00,1.377
348.00,1.378
349.00,1.379
350.00,1.383
351.00,1.387
352.00,1.388
353.00,1.391
354.00,1.391
355.00,1.395
356.00,1.398
357.00,1.400
358.00,1.403
359.00,1.405
360.00,1.407
361.00,1.407
362.00,1.415
363.00,1.418
364.00,1.420
365.00,1.423
366.00,1.424
367.00,1.426
368.00,1.430
369.00,1.431
370.00,1.433
371.00,1.436
372.00,1.440
373.00,1.444
374.00,1.445
375.00,1.448
376.00,1.451
377.00,1.453
378.00,1.456
379.00,1.459
380.00,1.460
381.00,1.465
382.00,1.467
383.00,1.470
384.00,1.472
385.00,1.475
386.00,1.477
387.00,1.480
388.00,1.481
389.00,1.484
390.00,1.486
391.00,1.488
392.00,1.490
393.00,1.491
394.00,1.493
395.00,1.495
396.00,1.497
397.00,1.498
398.00,1.500
399.00,1.501
400.00,1.502
401.00,1.503
402.00,1.505
403.00,1.506
404.00,1.505
405.00,1.506
406.00,1.507
407.00,1.507
408.00,1.508
409.00,1.508
410.00,1.508
411.00,1.508
412.00,1.509
413.00,1.508
414.00,1.507
415.00,1.508
416.00,1.507
417.00,1.506
418.00,1.505
419.00,1.505
420.00,1.503
421.00,1.501
422.00,1.501
