"File_251217_143931.spc - RawData"
"Wavelength nm.","Abs."
200.00,1.090
201.00,1.092
202.00,1.094
203.00,1.098
204.00,1.101
205.00,1.103
206.00,1.107
207.00,1.111
208.00,1.114
209.00,1.117
210.00,1.121
211.00,1.125
212.00,1.128
213.00,1.132
214.00,1.135
215.00,1.138
216.00,1.141
217.00,1.145
218.00,1.148
219.00,1.150
220.00,1.153
221.00,1.155
222.00,1.157
223.00,1.159
224.00,1.160
225.00,1.161
226.00,1.163
227.00,1.163
228.00,1.164
229.00,1.165
230.00,1.165
231.00,1.166
232.00,1.166
233.00,1.168
234.00,1.169
235.00,1.171
236.00,1.173
237.00,1.174
238.00,1.177
239.00,1.179
240.00,1.181
241.00,1.184
242.00,1.186
243.00,1.188
244.00,1.190
245.00,1.193
246.00,1.195
247.00,1.198
248.00,1.200
249.00,1.203
250.00,1.205
251.00,1.208
252.00,1.210
253.00,1.212
254.00,1.214
255.00,1.217
256.00,1.219
257.00,1.221
258.00,1.223
259.00,1.226
260.00,1.227
261.00,1.230
262.00,1.232
263.00,1.234
264.00,1.236
265.00,1.238
266.00,1.240
267.00,1.243
268.00,1.244
269.00,1.245
270.00,1.247
271.00,1.249
272.00,1.252
273.00,1.253
274.00,1.253
275.00,1.255
276.00,1.257
277.00,1.258
278.00,1.260
279.00,1.261
280.00,1.262
281.00,1.264
282.00,1.265
283.00,1.268
284.00,1.266
285.00,1.268
286.00,1.269
287.00,1.271
288.00,1.272
289.00,1.273
290.00,1.273
291.00,1.275
292.00,1.276
293.00,1.277
294.00,1.278
295.00,1.280
296.00,1.280
297.00,1.281
298.00,1.283
299.00,1.284
300.00,1.285
301.00,1.285
302.00,1.286
303.00,1.289
304.00,1.290
305.00,1.291
306.00,1.295
307.00,1.297
308.00,1.298
309.00,1.300
310.00,1.303
311.00,1.304
312.00,1.302
313.00,1.305
314.00,1.306
315.00,1.308
316.00,1.311
317.00,1.312
318.00,1.314
319.00,1.314
320.00,1.318
321.00,1.324
322.00,1.323
323.00,1.327
324.00,1.330
325.00,1.330
326.00,1.332
327.00,1.332
328.00,1.336
329.00,1.339
330.00,1.338
331.00,1.342
332.00,1.346
333.00,1.345
334.00,1.350
335.00,1.351
336.00,1.352
337.00,1.359
338.00,1.363
339.00,1.364
340.00,1.361
341.00,1.363
342.00,1.364
343.00,1.367
344.00,1.369
345.00,1.372
346.00,1.375
347.00,1.377
348.00,1.381
349.00,1.382
350.00,1.382
351.00,1.384
352.00,1.389
353.00,1.390
354.00,1.390
355.00,1.394
356.00,1.397
357.00,1.399
358.00,1.402
359.00,1.405
360.00,1.407
361.00,1.407
362.00,1.411
363.00,1.417
364.00,1.420
365.00,1.420
366.00,1.422
367.00,1.425
368.00,1.427
369.00,1.431
370.00,1.434
371.00,1.436
372.00,1.441
373.00,1.442
374.00,1.444
375.00,1.447
376.00,1.449
377.00,1.453
378.00,1.456
379.00,1.459
380.00,1.460
381.00,1.465
382.00,1.468
383.00,1.470
384.00,1.472
385.00,1.473
386.00,1.476
387.00,1.478
388.00,1.481
389.00,1.483
390.00,1.486
391.00,1.487
392.00,1.490
393.00,1.491
394.00,1.492
395.00,1.494
396.00,1.497
397.00,1.498
398.00,1.499
399.00,1.501
400.00,1.502
401.00,1.503
402.00,1.503
403.00,1.505
404.00,1.505
405.00,1.506
406.00,1.507
407.00,1.506
408.00,1.508
409.00,1.507
410.00,1.507
411.00,1.508
412.00,1.507
413.00,1.508
414.00,1.507
415.00,1.507
416.00,1.506
417.00,1.505
418.00,1.505
419.00,1.504
420.00,1.502
421.00,1.501
422.00,1.501
423.00,1.499
424.00,1.498
425.00,1.496
426.00,1.494
427.00,1.493
428.00,1.492
429.00,1.489
430.00,1.488
431.00,1.485
432.00,1.483
433.00,1.481
434.00,1.478
435.00,1.476
436.00,1.473
437.00,1.470
438.00,1.467
439.00,1.464
440.00,1.462
441.00,1.459
442.00,1.455
443.00,1.452
444.00,1.449
445.00,1.445
446.00,1.442
447.00,1.439
448.00,1.435
449.00,1.431
450.00,1.428
451.00,1.424
452.00,1.420
453.00,1.417
454.00,1.413
455.00,1.409
456.00,1.405
457.00,1.402
458.00,1.398
459.00,1.394
460.00,1.390
461.00,1.387
462.00,1.383
463.00,1.379
464.00,1.375
465.00,1.372
466.00,1.368
467.00,1.365
468.00,1.361
469.00,1.357
470.00,1.354
471.00,1.350
472.00,1.346
473.00,1.343
474.00,1.339
475.00,1.335
476.00,1.332
477.00,1.329
478.00,1.325
479.00,1.321
480.00,1.318
481.00,1.314
482.00,1.310
483.00,1.307
484.00,1.303
485.00,1.299
486.00,1.296
487.00,1.292
488.00,1.288
489.00,1.284
490.00,1.280
491.00,1.275
492.00,1.271
493.00,1.267
494.00,1.262
495.00,1.257
496.00,1.253
497.00,1.248
498.00,1.243
499.00,1.238
500.00,1.233
501.00,1.228
502.00,1.223
503.00,1.218
504.00,1.213
505.00,1.207
506.00,1.202
507.00,1.197
508.00,1.191
509.00,1.186
510.00,1.180
511.00,1.174
512.00,1.169
513.00,1.163
514.00,1.158
515.00,1.152
516.00,1.147
517.00,1.141
518.00,1.135
519.00,1.129
520.00,1.123
521.00,1.117
522.00,1.112
523.00,1.106
524.00,1.100
525.00,1.094
526.00,1.088
527.00,1.083
528.00,1.077
529.00,1.071
530.00,1.065
531.00,1.059
532.00,1.053
533.00,1.047
534.00,1.041
535.00,1.036
536.00,1.028
537.00,1.021
538.00,1.015
539.00,1.009
540.00,1.003
541.00,0.998
542.00,0.992
543.00,0.986
544.00,0.981
545.00,0.975
546.00,0.969
547.00,0.964
548.00,0.958
549.00,0.953
550.00,0.947
551.00,0.942
552.00,0.936
553.00,0.931
554.00,0.926
555.00,0.920
556.00,0.915
557.00,0.909
558.00,0.904
559.00,0.898
560.00,0.893
561.00,0.888
562.00,0.882
563.00,0.877
564.00,0.871
565.00,0.866
566.00,0.861
567.00,0.855
568.00,0.850
569.00,0.844
570.00,0.839
571.00,0.833
572.00,0.828
573.00,0.823
574.00,0.818
575.00,0.812
576.00,0.807
577.00,0.801
578.00,0.796
579.00,0.790
580.00,0.785
581.00,0.780
582.00,0.775
583.00,0.770
584.00,0.765
585.00,0.759
586.00,0.754
587.00,0.749
588.00,0.744
589.00,0.739
590.00,0.734
591.00,0.729
592.00,0.723
593.00,0.719
594.00,0.714
595.00,0.709
596.00,0.704
597.00,0.699
598.00,0.694
599.00,0.689
600.00,0.685
601.00,0.680
602.00,0.675
603.00,0.671
604.00,0.666
605.00,0.661
606.00,0.657
607.00,0.652
608.00,0.647
609.00,0.643
610.00,0.638
611.00,0.634
612.00,0.629
613.00,0.625
614.00,0.620
615.00,0.616
616.00,0.611
617.00,0.607
618.00,0.602
619.00,0.598
620.00,0.593
621.00,0.589
622.00,0.585
623.00,0.580
624.00,0.576
625.00,0.571
626.00,0.567
627.00,0.563
628.00,0.558
629.00,0.554
630.00,0.550
631.00,0.546
632.00,0.542
633.00,0.537
634.00,0.533
