"File_251217_150647.spc - RawData"
"Wavelength nm.","Abs."
200.00,0.144
201.00,0.141
202.00,0.138
203.00,0.136
204.00,0.134
205.00,0.133
206.00,0.131
207.00,0.130
208.00,0.129
209.00,0.128
210.00,0.127
211.00,0.126
212.00,0.125
213.00,0.124
214.00,0.124
215.00,0.123
216.00,0.123
217.00,0.122
218.00,0.122
219.00,0.121
220.00,0.121
221.00,0.120
222.00,0.119
223.00,0.118
224.00,0.117
225.00,0.116
226.00,0.115
227.00,0.114
228.00,0.113
229.00,0.111
230.00,0.110
231.00,0.109
232.00,0.108
233.00,0.107
234.00,0.106
235.00,0.105
236.00,0.105
237.00,0.105
238.00,0.104
239.00,0.104
240.00,0.104
241.00,0.104
242.00,0.104
243.00,0.104
244.00,0.104
245.00,0.104
246.00,0.104
247.00,0.104
248.00,0.104
249.00,0.104
250.00,0.104
251.00,0.104
252.00,0.104
253.00,0.104
254.00,0.104
255.00,0.104
256.00,0.104
257.00,0.104
258.00,0.104
259.00,0.104
260.00,0.104
261.00,0.104
262.00,0.104
263.00,0.104
264.00,0.104
265.00,0.104
266.00,0.104
267.00,0.104
268.00,0.104
269.00,0.104
270.00,0.104
271.00,0.104
272.00,0.104
273.00,0.104
274.00,0.104
275.00,0.104
276.00,0.104
277.00,0.104
278.00,0.104
279.00,0.104
280.00,0.104
281.00,0.104
282.00,0.104
283.00,0.104
284.00,0.104
285.00,0.104
286.00,0.104
287.00,0.104
288.00,0.104
289.00,0.104
290.00,0.104
291.00,0.104
292.00,0.104
293.00,0.103
294.00,0.104
295.00,0.103
296.00,0.103
297.00,0.103
298.00,0.103
299.00,0.103
300.00,0.103
301.00,0.103
302.00,0.103
303.00,0.103
304.00,0.103
305.00,0.103
306.00,0.103
307.00,0.103
308.00,0.103
309.00,0.103
310.00,0.103
311.00,0.104
312.00,0.103
313.00,0.104
314.00,0.104
315.00,0.104
316.00,0.104
317.00,0.104
318.00,0.104
319.00,0.104
320.00,0.104
321.00,0.105
322.00,0.105
323.00,0.105
324.00,0.105
325.00,0.105
326.00,0.105
327.00,0.105
328.00,0.106
329.00,0.105
330.00,0.105
331.00,0.106
332.00,0.106
333.00,0.106
334.00,0.106
335.00,0.106
336.00,0.106
337.00,0.106
338.00,0.106
339.00,0.106
340.00,0.106
341.00,0.106
342.00,0.106
343.00,0.106
344.00,0.106
345.00,0.106
346.00,0.106
347.00,0.107
348.00,0.107
349.00,0.107
350.00,0.107
351.00,0.107
352.00,0.107
353.00,0.107
354.00,0.107
355.00,0.107
356.00,0.107
357.00,0.108
358.00,0.108
359.00,0.108
360.00,0.108
361.00,0.108
362.00,0.108
363.00,0.109
364.00,0.109
365.00,0.109
366.00,0.109
367.00,0.109
368.00,0.109
369.00,0.109
370.00,0.109
371.00,0.110
372.00,0.110
373.00,0.110
374.00,0.110
375.00,0.110
376.00,0.110
377.00,0.111
378.00,0.111
